model,fraction,seed,train_images,epochs,best_epoch,val_macro_f1,test_accuracy,test_macro_f1,training_seconds,f1_per_class,wall_seconds
resnet50,0.1,1,1890,20,14,0.9671588948139597,0.9725925925925926,0.9718375798521102,93.0,"[0.949944, 0.985667, 0.968167, 0.984127, 0.990679, 0.956081, 0.935484, 0.993333, 0.970588, 0.984305]",96.1
efficientnet_b0,0.1,1,1890,20,13,0.9568544111973667,0.9637037037037037,0.9628014609773403,129.3,"[0.953125, 0.975983, 0.944507, 0.97043, 0.979973, 0.949833, 0.926764, 0.992265, 0.954128, 0.981006]",132.2
deit_tiny,0.1,1,1890,20,14,0.9676865161161452,0.9762962962962963,0.9755267721799233,87.9,"[0.959641, 0.993318, 0.974529, 0.974497, 0.989362, 0.966777, 0.943197, 0.992231, 0.969536, 0.992179]",91.2
resnet50,0.25,1,4727,20,17,0.9786194228421501,0.9817283950617284,0.9811610173670502,168.3,"[0.96882, 0.993348, 0.974186, 0.986667, 0.990654, 0.966667, 0.956863, 0.994451, 0.986667, 0.993289]",170.9
efficientnet_b0,0.25,1,4727,20,16,0.972493882626841,0.977037037037037,0.9766628576526465,196.7,"[0.960718, 0.983498, 0.965286, 0.986737, 0.98543, 0.968491, 0.948344, 0.993318, 0.982644, 0.992161]",199.3
deit_tiny,0.25,1,4727,20,16,0.9775678940442327,0.9785185185185186,0.9779446308365405,151.2,"[0.971239, 0.990033, 0.962796, 0.979973, 0.986667, 0.963333, 0.956522, 0.990055, 0.986667, 0.992161]",153.7
resnet50,0.5,1,9450,20,16,0.9825106805655007,0.9819753086419754,0.9817759542728798,313.9,"[0.976744, 0.993348, 0.971111, 0.984085, 0.979647, 0.978297, 0.970509, 0.982495, 0.989362, 0.992161]",316.7
efficientnet_b0,0.5,1,9450,20,19,0.9784531714373677,0.9819753086419754,0.9813461381598373,373.8,"[0.970852, 0.987872, 0.973392, 0.98269, 0.991979, 0.963576, 0.963758, 0.994463, 0.989333, 0.995546]",376.7
deit_tiny,0.5,1,9450,20,16,0.9825129434455467,0.9829629629629629,0.9823211040678791,279.1,"[0.973154, 0.993333, 0.976744, 0.97992, 0.993289, 0.968491, 0.965517, 0.996678, 0.982781, 0.993304]",281.4
resnet50,1.0,1,18900,20,19,0.9887085959461992,0.9898765432098765,0.9895185094065617,489.0,"[0.986696, 0.995546, 0.981215, 0.992, 0.987919, 0.978224, 0.984, 0.993363, 0.997333, 0.998888]",491.2
efficientnet_b0,1.0,1,18900,20,19,0.9847662629956645,0.9864197530864197,0.9862156746243625,625.6,"[0.980963, 0.984615, 0.976536, 0.986807, 0.991979, 0.978369, 0.977364, 0.996663, 0.993324, 0.995536]",628.1
deit_tiny,1.0,1,18900,20,19,0.9871224496970135,0.9883950617283951,0.9881277703943301,466.9,"[0.981006, 0.994451, 0.985635, 0.987984, 0.990654, 0.981636, 0.978836, 0.994463, 0.993324, 0.993289]",469.2
resnet50,0.1,2,1890,20,18,0.9642340498814497,0.9679012345679012,0.9670431459017751,87.0,"[0.956332, 0.993348, 0.947486, 0.971888, 0.986667, 0.950495, 0.935829, 0.99117, 0.959893, 0.977324]",89.3
efficientnet_b0,0.1,2,1890,20,18,0.9569418491361208,0.9614814814814815,0.9601683785201685,108.9,"[0.938497, 0.986755, 0.948661, 0.970822, 0.980237, 0.936455, 0.918206, 0.983535, 0.952, 0.986517]",111.6
deit_tiny,0.1,2,1890,20,16,0.9595432775826943,0.9718518518518519,0.9712385326248322,84.2,"[0.953462, 0.993363, 0.96063, 0.977364, 0.983957, 0.966667, 0.92607, 0.987872, 0.970822, 0.992179]",86.7
resnet50,0.25,2,4727,20,16,0.9803112812265716,0.9772839506172839,0.9768292915492554,153.2,"[0.962637, 0.992265, 0.968539, 0.986737, 0.986667, 0.963211, 0.953642, 0.993333, 0.982827, 0.978434]",155.4
efficientnet_b0,0.25,2,4727,20,19,0.9723702984989174,0.9777777777777777,0.9771151422665529,195.5,"[0.96063, 0.987818, 0.972067, 0.985353, 0.991979, 0.957096, 0.956636, 0.994463, 0.977483, 0.987627]",198.1
deit_tiny,0.25,2,4727,20,20,0.9776356207585376,0.9839506172839506,0.9834329272174284,148.4,"[0.972129, 0.997773, 0.978771, 0.985353, 0.990579, 0.973422, 0.964427, 0.993377, 0.984085, 0.994413]",150.7
resnet50,0.5,2,9450,20,20,0.984647978971959,0.9864197530864197,0.9862360433496118,267.8,"[0.980088, 0.995565, 0.977679, 0.990704, 0.989333, 0.976667, 0.98269, 0.992248, 0.992042, 0.985344]",270.0
efficientnet_b0,0.5,2,9450,20,17,0.9784111380247967,0.9819753086419754,0.98140416599442,340.2,"[0.96767, 0.990033, 0.973333, 0.989305, 0.993324, 0.960133, 0.964333, 0.996678, 0.989333, 0.989899]",342.8
deit_tiny,0.5,2,9450,20,18,0.9820498250926327,0.9824691358024691,0.9817775378572918,255.3,"[0.975446, 0.990033, 0.975391, 0.982644, 0.989276, 0.965404, 0.965517, 0.995565, 0.984085, 0.994413]",257.8
resnet50,1.0,2,18900,20,19,0.9856083552537285,0.9883950617283951,0.9879970425750807,506.0,"[0.982301, 0.997773, 0.984513, 0.990679, 0.986559, 0.976589, 0.982644, 0.992282, 0.993342, 0.993289]",508.3
efficientnet_b0,1.0,2,18900,20,17,0.9862420102508966,0.9864197530864197,0.9857851860776243,690.6,"[0.977679, 0.992231, 0.981215, 0.985392, 0.990704, 0.969799, 0.974633, 0.996656, 0.990654, 0.99889]",694.0
